task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,failure_penalty_cost,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,compute_audit_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.816062483,0.903915549,1.719978032,0.874883561,0.05882107800000003,0.05882107800000003,True,False,False,True,NONE,0.335761372,0.335761372,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999996,0.008823161700000004,0.6830592316999996,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.816062483,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.816062483,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.816062483,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.8400835609999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.840883561,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.840883561,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.874883561,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.840883561],""PREP"":[0.816062483]}","{""LOCAL_FER"":[0.840883561],""PREP"":[0.816062483]}","{""LOCAL_FER"":[0.874883561],""PREP"":[0.8400835609999999]}",[],[],[],[]
test-task-00001,veh-2,DONE,1.600448847,0.780684499,2.381133346,1.705831666,0.1053828189999999,0.1053828189999999,True,False,False,True,NONE,0.266532942,0.266532942,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7903128639999994,0.012645938279999987,0.8029588022799994,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.600448847,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.600448847,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.600448847,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.643031666,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.6438316659999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.6438316659999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.705831666,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.6438316659999999],""PREP"":[1.600448847]}","{""LOCAL_FER"":[1.6438316659999999],""PREP"":[1.600448847]}","{""LOCAL_FER"":[1.705831666],""PREP"":[1.643031666]}",[],[],[],[]
test-task-00002,veh-1,DONE,2.37468053,1.349610957,3.7242914870000003,2.435988879,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.275574448,0.275574448,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.37468053,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.37468053,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.37468053,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.397788879,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.398588879,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.398588879,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.435988879,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.398588879],""PREP"":[2.37468053]}","{""LOCAL_FER"":[2.398588879],""PREP"":[2.37468053]}","{""LOCAL_FER"":[2.435988879],""PREP"":[2.397788879]}",[],[],[],[]
test-task-00003,veh-2,DONE,3.197716988,1.17205298,4.369769968,3.3030998069999997,0.1053828189999999,0.1053828189999999,True,False,False,True,NONE,0.266532942,0.266532942,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7903128639999988,0.01264593827999999,0.8029588022799987,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.197716988,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.197716988,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.197716988,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.240299807,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.241099807,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.241099807,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.3030998069999997,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.241099807],""PREP"":[3.197716988]}","{""LOCAL_FER"":[3.241099807],""PREP"":[3.197716988]}","{""LOCAL_FER"":[3.3030998069999997],""PREP"":[3.240299807]}",[],[],[],[]
test-task-00004,veh-1,DONE,3.987173563,1.027659298,5.014832861,4.045994640999999,0.05882107799999936,0.05882107799999936,True,False,False,True,NONE,0.335761372,0.335761372,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999936,0.008823161699999903,0.6830592316999935,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.987173563,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.987173563,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.987173563,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.0111946409999995,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.011994640999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.011994640999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.045994640999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.011994640999999],""PREP"":[3.987173563]}","{""LOCAL_FER"":[4.011994640999999],""PREP"":[3.987173563]}","{""LOCAL_FER"":[4.045994640999999],""PREP"":[4.0111946409999995]}",[],[],[],[]
test-task-00005,veh-2,DONE,4.815775322,1.381605149,6.197380471000001,4.963667893428572,0.1478925714285717,0.1478925714285717,True,False,False,True,NONE,0.275574448,0.275574448,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.9995793854285713,0.017747108571428603,1.017326494,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.815775322,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.815775322,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.815775322,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.874296464857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.875096464857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.875096464857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.963667893428572,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.875096464857143],""PREP"":[4.815775322]}","{""LOCAL_FER"":[4.875096464857143],""PREP"":[4.815775322]}","{""LOCAL_FER"":[4.963667893428572],""PREP"":[4.874296464857143]}",[],[],[],[]
test-task-00006,veh-1,DONE,5.633351459,1.267162197,6.900513656,5.715734814714286,0.08238335571428568,0.08238335571428568,True,False,False,True,NONE,0.266763261,0.266763261,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8525887947142826,0.012357503357142852,0.8649462980714254,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.633351459,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.633351459,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.633351459,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.666363386142857,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.667163386142857,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.667163386142857,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.715734814714286,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.667163386142857],""PREP"":[5.633351459]}","{""LOCAL_FER"":[5.667163386142857],""PREP"":[5.633351459]}","{""LOCAL_FER"":[5.715734814714286],""PREP"":[5.666363386142857]}",[],[],[],[]
test-task-00007,veh-2,DONE,6.435968957,0.992113011,7.428081968,6.583861528428572,0.1478925714285717,0.1478925714285717,True,False,False,True,NONE,0.275574448,0.275574448,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.9995793854285714,0.017747108571428603,1.017326494,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":6.435968957,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":6.435968957,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":6.435968957,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":6.494490099857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":6.495290099857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":6.495290099857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":6.583861528428572,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[6.495290099857143],""PREP"":[6.435968957]}","{""LOCAL_FER"":[6.495290099857143],""PREP"":[6.435968957]}","{""LOCAL_FER"":[6.583861528428572],""PREP"":[6.494490099857143]}",[],[],[],[]
test-task-00008,veh-1,DONE,7.225278308,1.01793005,8.243208358,7.286586657,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.275574448,0.275574448,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.225278308,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.225278308,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.225278308,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":7.248386657,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":7.249186657,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":7.249186657,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":7.286586657,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[7.249186657],""PREP"":[7.225278308]}","{""LOCAL_FER"":[7.249186657],""PREP"":[7.225278308]}","{""LOCAL_FER"":[7.286586657],""PREP"":[7.248386657]}",[],[],[],[]
test-task-00009,veh-2,DONE,7.993281243,1.039085485,9.032366728,8.103246042999999,0.10996479999999842,0.10996479999999842,True,False,False,True,NONE,0.266452401,0.266452401,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999887,0.013195775999999809,0.8386552979999885,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.993281243,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.993281243,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.993281243,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":8.034246043,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":8.035046043,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":8.035046043,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":8.103246042999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[8.035046043],""PREP"":[7.993281243]}","{""LOCAL_FER"":[8.035046043],""PREP"":[7.993281243]}","{""LOCAL_FER"":[8.103246042999999],""PREP"":[8.034246043]}",[],[],[],[]
