task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,failure_penalty_cost,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,compute_audit_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.799704655,1.312595398,2.1123000530000002,0.858525733,0.05882107800000003,0.05882107800000003,True,False,False,True,NONE,0.349210507,0.349210507,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999996,0.008823161700000004,0.6830592316999996,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.799704655,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.799704655,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.799704655,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.823725733,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.824525733,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.824525733,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.858525733,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.824525733],""PREP"":[0.799704655]}","{""LOCAL_FER"":[0.824525733],""PREP"":[0.799704655]}","{""LOCAL_FER"":[0.858525733],""PREP"":[0.823725733]}",[],[],[],[]
test-task-00001,veh-2,DONE,1.625807973,0.827310089,2.4531180619999997,1.7373907919999998,0.11158281899999989,0.11158281899999989,True,False,False,True,NONE,0.280653008,0.280653008,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328639999995,0.013389938279999986,0.8508228022799995,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.625807973,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.625807973,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.625807973,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.6683907919999998,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.6691907919999998,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.6691907919999998,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.7373907919999998,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.6691907919999998],""PREP"":[1.625807973]}","{""LOCAL_FER"":[1.6691907919999998],""PREP"":[1.625807973]}","{""LOCAL_FER"":[1.7373907919999998],""PREP"":[1.6683907919999998]}",[],[],[],[]
test-task-00002,veh-1,DONE,2.361210964,1.272815499,3.634026463,2.419119313,0.05790834899999986,0.05790834899999986,True,False,False,True,NONE,0.250864219,0.250864219,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6640135069999977,0.008686252349999979,0.6726997593499977,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.361210964,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.361210964,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.361210964,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.384319313,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.385119313,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.385119313,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.419119313,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.385119313],""PREP"":[2.361210964]}","{""LOCAL_FER"":[2.385119313],""PREP"":[2.361210964]}","{""LOCAL_FER"":[2.419119313],""PREP"":[2.384319313]}",[],[],[],[]
test-task-00003,veh-2,DONE,3.224877101,1.296267606,4.521144707,3.3364599200000002,0.11158281900000011,0.11158281900000011,True,False,False,True,NONE,0.280653008,0.280653008,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328639999999,0.013389938280000013,0.85082280228,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.224877101,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.224877101,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.224877101,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.2674599200000003,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.26825992,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.26825992,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.3364599200000002,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.26825992],""PREP"":[3.224877101]}","{""LOCAL_FER"":[3.26825992],""PREP"":[3.224877101]}","{""LOCAL_FER"":[3.3364599200000002],""PREP"":[3.2674599200000003]}",[],[],[],[]
test-task-00004,veh-1,DONE,4.002967421,1.016496225,5.019463646,4.0617884989999995,0.05882107799999936,0.05882107799999936,True,False,False,True,NONE,0.349210507,0.349210507,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999936,0.008823161699999905,0.6830592316999935,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.002967421,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.002967421,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.002967421,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.026988499,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.027788499,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.027788499,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.0617884989999995,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.027788499],""PREP"":[4.002967421]}","{""LOCAL_FER"":[4.027788499],""PREP"":[4.002967421]}","{""LOCAL_FER"":[4.0617884989999995],""PREP"":[4.026988499]}",[],[],[],[]
test-task-00005,veh-2,DONE,4.831371191,1.173239556,6.004610746999999,4.988120905285714,0.1567497142857146,0.1567497142857146,True,False,False,True,NONE,0.285861349,0.285861349,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,1.0601622425714283,0.018809965714285753,1.078972208285714,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.831371191,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.831371191,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.831371191,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.8898923338571425,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.890692333857142,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.890692333857142,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.988120905285714,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.890692333857142],""PREP"":[4.831371191]}","{""LOCAL_FER"":[4.890692333857142],""PREP"":[4.831371191]}","{""LOCAL_FER"":[4.988120905285714],""PREP"":[4.8898923338571425]}",[],[],[],[]
test-task-00006,veh-1,DONE,5.610048583,1.239065619,6.849114202,5.697289081571428,0.08724049857142813,0.08724049857142813,True,False,False,True,NONE,0.226527965,0.226527965,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.9041716518571391,0.013086074785714219,0.9172577266428533,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.610048583,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.610048583,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.610048583,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.643060510142857,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.643860510142857,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.643860510142857,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.697289081571428,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.643860510142857],""PREP"":[5.610048583]}","{""LOCAL_FER"":[5.643860510142857],""PREP"":[5.610048583]}","{""LOCAL_FER"":[5.697289081571428],""PREP"":[5.643060510142857]}",[],[],[],[]
test-task-00007,veh-2,DONE,6.437558237,0.919478615,7.357036852,6.852453769857144,0.41489553285714376,0.41489553285714376,True,False,False,True,NONE,0.285861349,0.285861349,0.0,diffusion_strong_numerical_v2,local_fer_numerical_v1,,,1,3,anon-000272,numerical-test-artifact-e31a996416ece011898a,95075,0.0,0.0,2.9796224312857142,0.049787463942857255,3.0294098952285715,0.0,0.0,0.0,"[""PREP"",""ANON#1"",""GUARD#1"",""ENCODE#1"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":6.437558237,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":6.437558237,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":6.437558237,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":6.496079379857143,""trigger"":""PREP_DONE""},{""current"":""ANON_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":6.496879379857143,""trigger"":""PIPE_COMMIT""},{""current"":""ANON_RUN"",""detail"":null,""previous"":""ANON_WAIT"",""time_s"":6.496879379857143,""trigger"":""ANON_START""},{""current"":""GUARD_WAIT"",""detail"":null,""previous"":""ANON_RUN"",""time_s"":6.732223055571429,""trigger"":""ANON_DONE""},{""current"":""GUARD_RUN"",""detail"":null,""previous"":""GUARD_WAIT"",""time_s"":6.732223055571429,""trigger"":""GUARD_START""},{""current"":""ENCODE_WAIT"",""detail"":null,""previous"":""GUARD_RUN"",""time_s"":6.742937341285715,""trigger"":""GUARD_DONE""},{""current"":""ENCODE_RUN"",""detail"":null,""previous"":""ENCODE_WAIT"",""time_s"":6.742937341285715,""trigger"":""ENCODE_START""},{""current"":""READY"",""detail"":null,""previous"":""ENCODE_RUN"",""time_s"":6.754225198428572,""trigger"":""ENCODE_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""READY"",""time_s"":6.755025198428572,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":6.755025198428572,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":6.852453769857144,""trigger"":""LOCAL_DONE""}]","{""ANON"":[6.496879379857143],""ENCODE"":[6.742937341285715],""GUARD"":[6.732223055571429],""LOCAL_FER"":[6.755025198428572],""PREP"":[6.437558237]}","{""ANON"":[6.496879379857143],""ENCODE"":[6.742937341285715],""GUARD"":[6.732223055571429],""LOCAL_FER"":[6.755025198428572],""PREP"":[6.437558237]}","{""ANON"":[6.732223055571429],""ENCODE"":[6.754225198428572],""GUARD"":[6.742937341285715],""LOCAL_FER"":[6.852453769857144],""PREP"":[6.496079379857143]}",[],"[{""anon_completed_time_s"":6.732223055571429,""anon_energy_j"":1.400294869,""anon_oom"":false,""anon_work_s"":0.164740573,""attempt"":1,""attempt_started_time_s"":6.496879379857143,""attempt_terminal_time_s"":6.754225198428572,""encode_completed_time_s"":6.754225198428572,""encode_success"":true,""encoded_size_bytes"":95075,""executed_work_s"":0.180142073,""failure_reason"":null,""guard_completed_time_s"":6.742937341285715,""guard_passed"":true,""latency_s"":0.25734581857142924,""time_s"":6.732223055571429,""vehicle_energy_j"":1.489802369}]",[],[]
test-task-00008,veh-1,DONE,7.232542928,1.342585348,8.575128276000001,7.293851277,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.226527965,0.226527965,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.232542928,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.232542928,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.232542928,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":7.255651277,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":7.256451277,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":7.256451277,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":7.293851277,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[7.256451277],""PREP"":[7.232542928]}","{""LOCAL_FER"":[7.256451277],""PREP"":[7.232542928]}","{""LOCAL_FER"":[7.293851277],""PREP"":[7.255651277]}",[],[],[],[]
test-task-00009,veh-2,DONE,8.002388691,1.298762357,9.301151048,8.112353490999999,0.10996479999999842,0.10996479999999842,True,False,False,True,NONE,0.285861349,0.285861349,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999887,0.013195775999999809,0.8386552979999885,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":8.002388691,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":8.002388691,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":8.002388691,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":8.043353491,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":8.044153491,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":8.044153491,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":8.112353490999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[8.044153491],""PREP"":[8.002388691]}","{""LOCAL_FER"":[8.044153491],""PREP"":[8.002388691]}","{""LOCAL_FER"":[8.112353490999999],""PREP"":[8.043353491]}",[],[],[],[]
